name,team,position,rank
K.J. Osborn,WAS,WR,300
Noah Brown,WAS,WR,300
Brenden Rice,LAC,WR,300
Treylon Burks,TEN,WR,300
Ty Chandler,MIN,RB,300
JuJu Smith-Schuster,KC,WR,300
Kimani Vidal,LAC,RB,300
A.T. Perry,DEN,WR,300
Xavier Hutchinson,HOU,WR,300
Allen Lazard,NYJ,WR,300
Nathaniel Dell,HOU,WR,300
Nathaniel Dell,HOU,WR,300
